"","lon","lat","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"620",-104.879821,39.815709,10.4120626449585,15.8270416259766,39.6854209899902,875.234558105469,31.6420001983643,-8.23925018310547,39.8812484741211,19.064582824707,0.206458255648613,21.693790435791,0.206458255648613,416,63,13,45.5448951721191,159,42,139,42
"621",-103.786431,39.288498,8.59056282043457,16.3718757629395,40.0797462463379,898.271057128906,30.1662502288818,-10.6820001602173,40.8482513427734,17.3643341064453,-2.13970828056335,19.9676666259766,-2.13970828056335,359,66,8,72.0154113769531,177,24,174,24
"622",-104.898627,39.024288,5.34351062774658,16.2010631561279,43.382438659668,774.195861816406,25.0939998626709,-12.2507495880127,37.3447494506836,15.2722082138062,-3.63666653633118,15.2722082138062,-3.63666653633118,446,72,12,57.2163009643555,196,41,196,41
"623",-108.430316,45.737585,8.05312538146973,15.0497913360596,35.821964263916,973.524780273438,30.6200008392334,-11.392749786377,42.0127487182617,12.6418333053589,-3.86383318901062,20.240291595459,-3.86383318901062,388,67,15,46.9719467163086,163,51,108,51
"624",-108.512843,45.799211,8.26664543151855,15.1007919311523,36.5818176269531,947.66552734375,30.4047508239746,-10.8747501373291,41.2795028686523,12.9419994354248,-3.31395816802979,20.1574573516846,-3.31395816802979,372,66,14,48.4672737121582,158,48,103,48
"625",-105.171253,39.754035,7.83900022506714,16.9711666107178,44.2703971862793,786.537963867188,28.4792499542236,-9.85599994659424,38.3352508544922,15.4459581375122,-1.13041663169861,18.0448341369629,-1.13041663169861,469,66,14,42.0627822875977,173,53,158,53
"626",-104.720795,38.712995,9.50507259368896,16.21702003479,41.396614074707,837.490600585938,29.9654998779297,-9.20925045013428,39.1747512817383,20.2116661071777,-0.386583417654037,20.2116661071777,-0.386583417654037,393,68,8,63.7381477355957,180,29,180,29
"627",-98.027125,38.202602,12.96790599823,13.3617296218872,32.3771553039551,1015.45184326172,33.7470016479492,-7.52199983596802,41.2690010070801,22.8531246185303,0.235624954104424,25.4113750457764,0.235624954104424,718,106,15,49.839469909668,290,62,270,62
"628",-104.67409,39.651481,9.59253120422363,15.943229675293,40.301643371582,859.623474121094,30.6552505493164,-8.9045000076294,39.5597496032715,17.9577503204346,-0.430666595697403,20.6377925872803,-0.430666595697403,399,63,10,52.7185401916504,169,34,153,34
"629",-104.671319,39.651279,9.59253120422363,15.943229675293,40.301643371582,859.623474121094,30.6552505493164,-8.9045000076294,39.5597496032715,17.9577503204346,-0.430666595697403,20.6377925872803,-0.430666595697403,399,63,10,52.7185401916504,169,34,153,34
"630",-105.484825,40.685047,6.21307277679443,15.1739377975464,42.6593704223633,766.842712402344,26.074499130249,-9.49549961090088,35.5699996948242,13.6939163208008,-2.35433340072632,16.2019577026367,-2.35433340072632,394,56,14,46.8321952819824,160,42,147,42
"631",-105.088997,40.151028,9.82250022888184,16.894458770752,40.8710517883301,882.407836914062,31.4160003662109,-9.92000007629395,41.3359985351562,14.014500617981,-0.743208348751068,21.0477924346924,-0.743208348751068,433,68,14,45.7843780517578,171,44,130,44
"632",-105.471747,39.074422,3.93347930908203,17.3802089691162,43.230583190918,824.058715820312,24.8802509307861,-15.3232498168945,40.203498840332,14.3719167709351,-5.84474992752075,14.3719167709351,-5.84474992752075,386,68,10,59.7484931945801,178,37,178,37
"633",-96.000343,41.837982,9.8476037979126,12.44225025177,29.31174659729,1116.54760742188,30.4344997406006,-12.013500213623,42.447998046875,21.0301246643066,-4.58199977874756,23.0380420684814,-4.58199977874756,749,107,17,52.7056350708008,303,57,280,57
"634",-104.710808,39.570801,9.59253120422363,15.943229675293,40.301643371582,859.623474121094,30.6552505493164,-8.9045000076294,39.5597496032715,17.9577503204346,-0.430666595697403,20.6377925872803,-0.430666595697403,399,63,10,52.7185401916504,169,34,153,34
"635",-105.319733,40.150554,9.46758365631104,16.400749206543,41.6513748168945,834.439575195312,30.4637508392334,-8.91250038146973,39.3762512207031,13.1078748703003,-0.251250118017197,20.2183742523193,-0.251250118017197,454,69,15,43.4080543518066,175,49,136,49
"636",-104.867075,38.99746,5.67538547515869,15.872145652771,43.1633796691895,768.406982421875,25.1532497406006,-11.6190004348755,36.7722511291504,15.5377502441406,-3.20125007629395,15.5377502441406,-3.20125007629395,444,73,11,58.435920715332,198,41,198,41
"637",-104.867284,38.997589,5.67538547515869,15.872145652771,43.1633796691895,768.406982421875,25.1532497406006,-11.6190004348755,36.7722511291504,15.5377502441406,-3.20125007629395,15.5377502441406,-3.20125007629395,444,73,11,58.435920715332,198,41,198,41
"638",-101.939624,35.235354,14.091760635376,15.709979057312,40.6952095031738,864.858459472656,33.2952499389648,-5.30875015258789,38.6040000915527,24.7964172363281,3.44316649436951,24.7964172363281,3.44316649436951,478,81,12,61.9269523620605,220,39,220,39
"639",-101.93974,35.235209,14.091760635376,15.709979057312,40.6952095031738,864.858459472656,33.2952499389648,-5.30875015258789,38.6040000915527,24.7964172363281,3.44316649436951,24.7964172363281,3.44316649436951,478,81,12,61.9269523620605,220,39,220,39
"640",-101.936768,35.235807,14.091760635376,15.709979057312,40.6952095031738,864.858459472656,33.2952499389648,-5.30875015258789,38.6040000915527,24.7964172363281,3.44316649436951,24.7964172363281,3.44316649436951,478,81,12,61.9269523620605,220,39,220,39
"641",-104.899917,41.542539,7.6461877822876,15.1635007858276,39.835807800293,854.043395996094,28.9677505493164,-9.09724998474121,38.0650024414062,15.8752088546753,-2.17583322525024,18.701416015625,-2.17583322525024,376,65,12,53.9298973083496,168,39,140,39
"642",-102.867957,39.803803,9.74942684173584,16.3184795379639,38.8643951416016,943.608581542969,31.7237510681152,-10.2644996643066,41.9882507324219,18.9251251220703,-1.57229149341583,21.6492500305176,-1.57229149341583,406,74,8,70.8598175048828,208,24,183,24
"643",-107.528519,44.109117,7.51162481307983,16.2486248016357,35.3613433837891,1043.36828613281,31.5949993133545,-14.3552503585815,45.9502487182617,12.5937919616699,-5.43324995040894,20.560417175293,-5.43324995040894,270,46,10,47.1239585876465,113,36,74,36
"644",-99.4133,43.804558,8.57271862030029,14.0334377288818,30.7089157104492,1145.03125,31.2912502288818,-14.4069995880127,45.6982498168945,19.5867919921875,-5.81579160690308,22.3462085723877,-5.81579160690308,510,80,9,60.7151412963867,230,32,203,32
"645",-104.685186,38.746649,9.50507259368896,16.21702003479,41.396614074707,837.490600585938,29.9654998779297,-9.20925045013428,39.1747512817383,20.2116661071777,-0.386583417654037,20.2116661071777,-0.386583417654037,393,68,8,63.7381477355957,180,29,180,29
"646",-105.229297,39.780158,7.83900022506714,16.9711666107178,44.2703971862793,786.537963867188,28.4792499542236,-9.85599994659424,38.3352508544922,15.4459581375122,-1.13041663169861,18.0448341369629,-1.13041663169861,469,66,14,42.0627822875977,173,53,158,53
"647",-105.145317,40.06215,9.82250022888184,16.894458770752,40.8710517883301,882.407836914062,31.4160003662109,-9.92000007629395,41.3359985351562,14.014500617981,-0.743208348751068,21.0477924346924,-0.743208348751068,433,68,14,45.7843780517578,171,44,130,44
"648",-104.831889,37.603648,10.122124671936,16.5556659698486,43.5896263122559,808.298767089844,30.3567504882812,-7.62400007247925,37.9807510375977,20.3754577636719,0.550999939441681,20.3754577636719,0.550999939441681,345,60,9,57.1540908813477,151,30,151,30
"649",-104.867528,38.997649,5.67538547515869,15.872145652771,43.1633796691895,768.406982421875,25.1532497406006,-11.6190004348755,36.7722511291504,15.5377502441406,-3.20125007629395,15.5377502441406,-3.20125007629395,444,73,11,58.435920715332,198,41,198,41
"650",-109.792183,45.762978,7.84362506866455,14.9425830841064,38.4441871643066,864.687683105469,29.4785003662109,-9.38975048065186,38.8682518005371,11.6569166183472,-2.29866671562195,18.9710426330566,-2.29866671562195,401,71,13,52.0126838684082,174,48,130,48
"651",-104.889525,38.869862,5.67538547515869,15.872145652771,43.1633796691895,768.406982421875,25.1532497406006,-11.6190004348755,36.7722511291504,15.5377502441406,-3.20125007629395,15.5377502441406,-3.20125007629395,444,73,11,58.435920715332,198,41,198,41
"652",-104.98542,38.918288,5.67538547515869,15.872145652771,43.1633796691895,768.406982421875,25.1532497406006,-11.6190004348755,36.7722511291504,15.5377502441406,-3.20125007629395,15.5377502441406,-3.20125007629395,444,73,11,58.435920715332,198,41,198,41
"653",-104.983575,38.916438,5.67538547515869,15.872145652771,43.1633796691895,768.406982421875,25.1532497406006,-11.6190004348755,36.7722511291504,15.5377502441406,-3.20125007629395,15.5377502441406,-3.20125007629395,444,73,11,58.435920715332,198,41,198,41
"654",-103.653008,46.9395,6.84528112411499,14.0911874771118,30.7017631530762,1146.56372070312,30.1499996185303,-15.7469997406006,45.8969993591309,18.1534175872803,-7.54770851135254,20.8140830993652,-7.54770851135254,376,82,8,72.3200912475586,190,27,168,27
"655",-105.171033,39.978106,8.41788578033447,16.1509799957275,42.6425666809082,796.953002929688,28.9225006103516,-8.95275020599365,37.8752517700195,11.6349582672119,-0.701166808605194,18.7534999847412,-0.701166808605194,470,68,16,41.4673614501953,175,54,148,54
"656",-101.520675,40.431288,9.89812469482422,15.9454584121704,36.7739448547363,1005.25268554688,32.1319999694824,-11.2287502288818,43.3607482910156,19.6000003814697,-2.35541677474976,22.3756256103516,-2.35541677474976,497,84,11,64.5524826049805,240,35,212,35
"657",-100.931713,38.802827,11.9660625457764,16.0991249084473,37.401123046875,990.990539550781,34.0174980163574,-9.02699947357178,43.0444984436035,21.6664161682129,-0.105666719377041,24.3335418701172,-0.105666719377041,489,80,11,61.4757499694824,227,35,208,35
"658",-102.86839,39.80378,9.74942684173584,16.3184795379639,38.8643951416016,943.608581542969,31.7237510681152,-10.2644996643066,41.9882507324219,18.9251251220703,-1.57229149341583,21.6492500305176,-1.57229149341583,406,74,8,70.8598175048828,208,24,183,24
"659",-100.11383,39.374524,11.4102087020874,15.2217082977295,35.6265449523926,1011.04797363281,33.2350006103516,-9.49075031280518,42.7257499694824,21.3275413513184,-0.978333413600922,23.9866256713867,-0.978333413600922,541,94,11,64.1486282348633,256,40,229,40
"660",-100.445491,37.173066,13.1666975021362,15.6104793548584,37.2827606201172,967.914916992188,34.2257499694824,-7.64475011825562,41.8704986572266,22.6171245574951,1.23833334445953,25.0887908935547,1.23833334445953,522,80,11,57.6717109680176,232,40,218,40
"661",-105.069541,39.433792,7.6528959274292,17.1506252288818,43.8977317810059,794.557739257812,28.2317504882812,-10.8377504348755,39.0694999694824,15.4068746566772,-1.57237505912781,17.9091663360596,-1.57237505912781,449,63,12,46.5970497131348,175,46,168,46
"662",-101.921555,41.289353,9.67486476898193,15.5180206298828,36.2634124755859,997.326232910156,31.8962497711182,-10.8962497711182,42.7924995422363,19.4616241455078,-2.33208346366882,22.216625213623,-2.33208346366882,426,74,13,57.3084564208984,198,45,163,45
"663",-105.197197,39.663895,6.13796901702881,17.0670204162598,45.124584197998,764.218322753906,26.4257507324219,-11.3962497711182,37.8219985961914,13.5552921295166,-2.60091662406921,16.0271663665771,-2.60091662406921,463,63,13,44.9146919250488,175,51,173,51
"664",-104.86821,39.669861,10.4120626449585,15.8270416259766,39.6854209899902,875.234558105469,31.6420001983643,-8.23925018310547,39.8812484741211,19.064582824707,0.206458255648613,21.693790435791,0.206458255648613,416,63,13,45.5448951721191,159,42,139,42
"665",-111.228981,47.534271,7.28478145599365,14.2598123550415,35.9837303161621,913.252990722656,28.6940002441406,-10.9344997406006,39.6285018920898,16.1234588623047,-3.86508321762085,18.7164173126221,-3.86508321762085,388,67,13,52.1867294311523,165,48,138,48
"666",-104.896195,38.817688,4.25472927093506,14.9272079467773,42.7187385559082,742.071350097656,22.8994998931885,-12.0434999465942,34.943000793457,13.7691669464111,-4.22849988937378,13.7691669464111,-4.22849988937378,466,77,15,55.2698783874512,205,51,205,51
"667",-104.870915,39.022706,5.34351062774658,16.2010631561279,43.382438659668,774.195861816406,25.0939998626709,-12.2507495880127,37.3447494506836,15.2722082138062,-3.63666653633118,15.2722082138062,-3.63666653633118,446,72,12,57.2163009643555,196,41,196,41
